"","id","Phase","Predictability","TimeBin","SamplesInAOI","SamplesTotal","AOI","Elog","Weights","Prop","LogitAdjusted","ArcSin","Time","ot1","ot2","ot3","ot4","ot5","ot6","ot7"
"5937","SE78","Train","Unpred",0,18,64,"RecipientAOI",-0.921681580509032,13.2346153846154,0.28125,-0.93826963859293,0.558989866024985,0,-0.430945803685667,0.481812055829716,-0.458578365873336,0.3875694570443,-0.29489613910929,0.202756327304059,-0.125744136217209
"5938","SE78","Train","Unpred",1,26,71,"RecipientAOI",-0.540567592964728,16.7465277777778,0.366197183098592,-0.548565951748838,0.649944576869654,0.1,-0.364646449272488,0.259437260831386,-0.0352752589133336,-0.208691246100777,0.385633412681379,-0.45230257629367,0.415922912103075
"5939","SE78","Train","Unpred",2,29,71,"RecipientAOI",-0.365113812584597,17.4131944444444,0.408450704225352,-0.370373788296894,0.69332945975525,0.2,-0.298347094859308,0.0741249316661101,0.211651553480001,-0.357756421887045,0.272211820716268,-0.0155966405618529,-0.261160898297281
"5940","SE78","Train","Unpred",3,23,71,"RecipientAOI",-0.724563376793324,15.8298611111111,0.323943661971831,-0.735706794978741,0.605484472041284,0.3,-0.232047740446129,-0.0741249316661101,0.314270488500608,-0.249345384951578,-0.0577419013640573,0.321857946140012,-0.310403357235485
"5941","SE78","Train","Unpred",4,24,72,"RecipientAOI",-0.682890680392756,16.277397260274,0.333333333333333,-0.693147180559945,0.615479708670387,0.4,-0.165748386032949,-0.185312329165275,0.304649963342426,-0.0352335870040276,-0.286647296057282,0.262307136722036,0.0835363142701706
"5942","SE78","Train","Unpred",5,22,70,"RecipientAOI",-0.768048488733063,15.3697183098592,0.314285714285714,-0.780158557549575,0.595124567552538,0.5,-0.0994490316197694,-0.259437260831385,0.214858395199395,0.170747383173363,-0.299020560635294,-0.0354469103678429,0.329748608961211
"5943","SE78","Train","Unpred",6,26,71,"RecipientAOI",-0.540567592964728,16.7465277777778,0.366197183098592,-0.548565951748838,0.649944576869654,0.6,-0.0331496772065898,-0.29649972666444,0.0769642012654549,0.292709799725765,-0.123732645780122,-0.283575282942741,0.175865924779315
"5944","SE78","Train","Unpred",7,30,72,"RecipientAOI",-0.331777392317005,17.7568493150685,0.416666666666667,-0.336472236621213,0.701674123787604,0.7,0.0331496772065898,-0.29649972666444,-0.0769642012654549,0.292709799725765,0.123732645780122,-0.283575282942741,-0.175865924779311
"5945","SE78","Train","Unpred",8,34,70,"RecipientAOI",-0.0563529365511317,17.7359154929577,0.485714285714286,-0.0571584138399485,0.771110504762802,0.8,0.0994490316197694,-0.259437260831385,-0.214858395199395,0.170747383173363,0.299020560635294,-0.0354469103678425,-0.329748608961212
"5946","SE78","Train","Unpred",9,56,72,"RecipientAOI",1.23088025724586,12.7705479452055,0.777777777777778,1.25276296849537,1.07991364850559,0.9,0.165748386032949,-0.185312329165275,-0.304649963342426,-0.0352335870040272,0.286647296057282,0.262307136722035,-0.0835363142701757
